Id,Clau,Titol,Longitud,Latitud,Desapareguda,Bandol,TipusFossa,Notes,Font,Documentacio,HospMilitar,NumRestes,Municipi,Comarca,IdCategoria,Estudi_Ebre,Fitxa,Excavades,Data creació,Inicipublicacio,Georeferència,LIMADM_MUNICIPI,LIMADM COMARCA
126020,Seròs: Plana de la Paueta,Seròs: Plana de la Paueta,0.42263031,41.45121873,No,Republicà,Soldats,"Aquesta fossa, igual que la de Tossal de Perxo, segurament neix de l’ofensiva republicana del maig de 1938 al cap de pont, fet que no vol dir que no tingués continuïtat en la seva utilització durant els 7 mesos que les tropes republicanes intentaren aconseguir guanyar la posició. Possiblement no es podrà saber mai amb exactitud quin nombre de víctimes s’esdevingué en aquest cap de pont, però indubtablement van haver de ser molt nombroses.","Galitó, P.; Gimeno, M.; Pita, R.; Tarragona, J: Les batalles del Segre i La Noguera Pallaresa. Pagès Editors, Lleida 2006. Minguella i Piñol, J.M.: Notes sobre el Cap de Pont de Seròs. Institut d'Estudis Ilerdencs de la Diputació de Lleida, Lleida 1992. Fonts orals: Oriol Riart Arnalot","Ajuntament de Seròs, documentació datada el juny de 1958. Arxiu Històric de Lleida, Fons Govern Civil. Documentació per al trasllat de restes a la Santa Cruz del Valle de los Caídos.",,400 aprox.,Seròs,Segrià,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/seros-plana-de-la-paueta,No,,,"(41.45121873, 0.42263031)",566,21
126215,Cementiri de Ribes de Freser,Cementiri de Ribes de Freser,2.17169881,42.31212829,No,Republicà,Soldats,"Les defuncions inscrites a Ribes s’inicien amb soldats morts el 29 de juliol de 1938 i la darrera inscripció es del 6 de febrer de 1939. Ribes de Freser fou ocupat el dia 8 i Núria el dia 9. Tot sembla indicar que els soldats morts foren inhumats al cementiri, tot i que actualment es desconeix la ubicació de la fossa dins el recinte.","Hervás i Puyal, Carles: Sanitat a Catalunya durant la República i la Guerra Civil. Tesi Doctoral no publicada, Universitat Pompeu Fabra, Barcelona, 2004. Solé i Barjau, Queralt. Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009.",Cost Humà de la Guerra Civil. Centre d'Història Contemporània de Catalunya,"Hospital de Campanya o de Sang. Hospital de Montagut i d'Aigües de Ribes. Al Registre Civil de Ribes de Freser s'hi reflecteixen les morts que es van produir als hospitals militars que va instal·lar-se al municipi, un d'ells anomenat Montagut i l'altre ubicat a Aigües de Ribes, així com l'antituberculós que es va ubicar al Santuari de la Vall de Núria, tot i que dels difunts de Núria cal assenyalar que també es van inscriure 7 soldats al Registre Civil de Queralbs.",90 aprox.,Ribes de Freser,Ripollès,Confirmada,Antiga,http://fossesirepressio.gencat.cat/ca/ribes-de-freser-desconegut-probablement-al-cementiri,No,,,"(42.31212829, 2.17169881)",241,7
126075,Castellolí: Muntanya de la Febre Morta,Castellolí: Muntanya de la Febre Morta,1.72540605,41.58167275,No,Republicà,Soldats,"La fossa es troba al voltant d'una pedra que marca el límit territorial entre els termes municipals del Bruc, Piera i Castellolí. El 22 de gener de 1939 hi van haver enfrontaments a la muntanya de la Febre Morta. Veïns del poble foren els encarregats d'enterrar els cossos. De fet a aquesta muntanya hi poden haver diverses fosses comunes atès que és just al costat de la serra de Montserrat, i a pocs quilòmetres del riu Llobregat, a la riba dreta del qual s'havia plantejat la construcció de la L4 per tal que forces republicanes hi fossin destacades per frenar l'avanç franquista abans que arribés al Llobregat.","Dos castellonencs revelen l'existència de fosses de soldats republicans a la comarca. La Veu de l'Anoia, 22 de novembre de 2002. ""Castellolí, cossos enterrats però no oblidats"". Diari d'Igualada, 29 de novembre de 2002. ""Castellolí: el cas que revela l'existència de fosses de soldats republicans a l'Anoia"". Regió 7, 16 de desembre de 2002. Solé i Barjau, Queralt. Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009.",,,4 o 8,Castellolí,Anoia,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/castelloli-muntanya-de-la-febre-morta,No,,,"(41.58167275, 1.72540605)",473,24
160892,Cantallops_subirats,Cantallops,1.80421472,41.37109232,Sí,Republicà,Soldats,"El 21 de gener de 1939 un soldat republicà, que tallava les línies de comunicació pujat a un pal de la llum, fou abatut per un tirador franquista. El seu cos va ser inhumat al mateix lloc dels fets. Actualment l'indret es troba urbanitzat.",Les fosses de la Guerra Civil al Penedès,Font oral,,1,Subirats,Alt Penedès,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/subirats-cantallops,No,,,"(41.37109232, 1.80421472)",778,32
160847,Estació de Sant Vicenç de Calders,Estació de Sant Vicenç de Calders,1.52507186,41.18728576,Sí,Republicà,Soldats,A prop de l'estació s'hi van llençar els cossos de quatre o cinc víctimes dels bombardeigs soferts a l'estació de ferrocarril de Sant Vicenç de Calders.,Les fosses de la Guerra Civil al Penedès,,,1,"Vendrell, el",Baix Penedès,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/vendrell-estacio-de-sant-vicenc-de-calders,No,,,"(41.18728576, 1.52507186)",456,33
125760,València d'Aneu: Prat de Ton d'Aiguan,València d'Aneu: Prat de Ton d'Aiguan,1.090554,42.64236437,Sí,Republicà,Civils,Es tracta d'una fossa desapareguda ja que les restes de les víctimes foren traslladades al cementiri de València d'Àneu.,"Fonts hemerogràfiques i bibliogràfiques: Barallat i Barés, Mercè: La repressió a la postguerra civil a Lleida (1938-1945). Publicacions de l'Abadia de Montserrat. Barcelona 1991. Gimeno, Manuel: Revolució, guerra i repressió al Pallars (1936-1939). Publicacions de l’Abadia de Montserrat, Barcelona 1987. Solé i Barjau, Queralt: Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009. Fonts orals: Andreu Cortina, fill d'una de les víctimes.","Ajuntament d'Alt Àneu, Registre Civil de València d'Àneu",,3,Alt Àneu,Pallars Sobirà,Confirmada,Antiga,http://fossesirepressio.gencat.cat/ca/valencia-daneu-prat-de-ton-daiguan,No,,,"(42.64236437, 1.090554)",328,2
126089,Cementiri de Prats de Rei,Cementiri de Prats de Rei,1.53921783,41.70866005,No,Republicà,Hospital Militar,"Hi ha dues fosses al cementiri nascudes de l'hospital militar. Al registre civil hi ha inscrits 22 difunts, però segons els testimonis és possible que hi hagi més persones inhumades.","Solé i Barjau, Queralt. Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009.",,Hospital Militar de Campanya del XI Cos de l'Exèrcit republicà,22 aprox.,"Prats de Rei, els",Anoia,Confirmada,Antiga,http://fossesirepressio.gencat.cat/ca/prats-de-rei-cementiri,No,,,"(41.70866005, 1.53921783)",612,24
161190,El Morinyol_fossa,Fossa del Morinyol,0.89836299,41.78461508,No,Republicà,Soldats,"Possible lloc d'enterrament de soldats morts com a conseqüència de les ofensiva republicanes sobre el cap de pont de Balaguer, d'abril i maig de 1938. El Morinyol fou, des d'abril fins al maig de 1938, la posició franquista més oriental del cap de pont de Balaguer i punt predominant amb 361 metres d'alçada. El dia 22 de maig les forces republicanes de la 72 Divisió, ocupen aquesta posició. Segons el que es relata al ""Parte de operaciones"" de la 54 Divisió del Cos de l'Exèrcit d'Aragó, els combats en aquesta zona van ser d'una violència extrema i van finalitzar amb la pèrdua de la posició, però no sense haver causat un nombre molt elevat de baixes entre els soldats republicans. No detallen el nombre de baixes concretes però entre aquesta cota i una situada a l'oest, i sempre segons el comunicat franquista, es van comptabilitzar 500 morts.","Fonts orals: Ginés Romero López, veí de Bellcaire d'Urgell","Arxiu General Militar d'Àvila: ""Partes de operaciones""",,Desconegut,Bellcaire d'Urgell,Noguera,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/serra-bellmunt-2,No,,,"(41.78461508, 0.89836299)",815,15
160843,Cementiri Bisbal del Penedès_fossa,Cementiri de la Bisbal del Penedès,1.49510622,41.28529247,Sí,Republicà,Soldats,Un dels soldats enterrats va morir defensant la Bisbal del Penedès. La resta foren trobats en diversos indrets del terme municipal.,Les fosses de la Guerra Civil al Penedès,,,de 5 a 6,"Bisbal del Penedès, la",Baix Penedès,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/bisbal-penedes-cementiri,No,,,"(41.28529247, 1.49510622)",253,33
125774,Cementiri de Sant Pere de Ribes,Cementiri de Sant Pere de Ribes,1.7648828,41.25983978,Sí,Republicà,Hospital Militar,"A Sant Pere de Ribes, durant la guerra s'hi instal·là un hospital militar del que no es té massa informació, tot i que durant bona part de 1938 se sap que va estar en funcionament. Es tractava d'un hospital de carrabiners, ubicat a l'actual casino. S'ha trobat constància documental de la mort de 19 carrabiners entre el 16 d'abril de 1938 i el 15 de gener de 1939, tot i que és possible que en fòssin més. Els soldats morts eren inhumats al cementiri.","Fonts hemerogràfiques i bibliogràfiques: Palacios, Josep M.: “Repòs de carrabiners”, “La pau dels quaranta”, “Sanitat, guerra i revolució”. Diari El Punt de 18 i 25 de juny i 30 de juliol de 2003. Solé i Barjau, Queralt. ""Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939)"". Catarroja: Ed. Afers, 2009.",Registre Civil de Sant Pere de Ribes,"Hospital d’Evacuació o de Reraguarda, convertit en Hospital de Sang o de Campanya.",Desconegut,Sant Pere de Ribes,Garraf,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/sant-pere-de-ribes-cementiri,No,,,"(41.25983978, 1.7648828)",541,34
125906,Cementiri de Masdenverge,Cementiri de Masdenverge,0.53620577,40.71169504,No,Rebel,Soldats,"Masdenverge, situat al costat d'Amposta, patí juntament amb aquesta darrera l'atac secundari per part de les tropes republicanes el 25 de juliol de 1938, que intentaven distreure les tropes franquistes de l'atac principal, que pretenia aprofundir en l'operació a partir de prendre Gandesa. A Masdenverge s'hi degueren enterrar els soldats franquistes morts els dies 26 i 27 de juliol, atès que les dades que es tenen de les dues fosses de les que es té coneixement, de 13 i 6 morts, identifiquen soldats franquistes.","Solé i Barjau, Queralt. Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009.",,,13 i 6,Masdenverge,Montsià,Confirmada,Antiga,http://fossesirepressio.gencat.cat/ca/masdenverge-possiblement-al-cementiri,No,,,"(40.71169504, 0.53620577)",202,41
126150,La Sentiu de Sió: Al voltant de la Masia de Flix,La Sentiu de Sió: Al voltant de la Masia de Flix,0.8781835,41.805298,No,Republicà,Soldats,"A la línia de front de Camarasa, trencada amb l'inici de l'ofensiva franquista de finals de desembre de 1938, hi ha la masia de Flix on es produïren importants combats els quals, segons el diari d'operacions de la 54a Divisió rebel, provocaren la mort de 58 soldats republicans.","Solé i Barjau, Queralt. Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009.",Arxiu General Militar d'Àvila. Diari d'operacions,,58,"Sentiu de Sió, la",Noguera,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/la-sentiu-de-sio-al-voltant-de-la-masia-de-flix,No,,,"(41.805298, 0.8781835)",738,15
126168,Alòs de Balaguer: Partida de les escollades,Alòs de Balaguer: Partida de les escollades,0.91238022,41.92852735,No,Republicà,Soldats,"En aquesta localitat hi ha quatre possibles fosses. L'any 1942 el fiscal instructor de la causa general va demanar informació a l'alcade d'Alòs de Balaguer sobre la mort d'un soldat mort per les tropes republicanes. Arran d'aquesta demanda es va saber que a la localitat hi havia l’existència de 55 cadàvers que haurien estat enterrats al voltant de la població. Els soldats foren abandonats al mateix indret on foren morts, fins que els veïns del poble no van tornar i van trobar els cadàvers al voltant de la població no els enterraren, també als mateixos indrets on foren localitzats.","Solé i Barjau, Queralt. Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009.",Arxiu Històric Nacional: Causa General de Lleida. Registre de defuncions d'Alòs de Balaguer,,1,Alòs de Balaguer,Noguera,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/partida-de-les-escollades,No,,,"(41.92852735, 0.91238022)",18,15
126170,Cementiri de Sant Feliu de Guíxols,Cementiri de Sant Feliu de Guíxols,3.01999569,41.78045694,No,Rebel,Soldats,"El llistat que es conserva a l'Ajuntament, ""Relación de los militares enterrados en el cementerio de esta ciudad durante los días 4 y 5 de febrero de 1939, según ficha de identificación depositada junto al cadaver"" es composa de 34 noms, la majoria d'ells italians, i tots ells pertanyents a les ""Flechas Azules"", de la Divisió Littorio. La data de la mort de tots ells són els dies 4 i 5 de febrer de 1939, dies en els que la població fou ocupada per les tropes franquistes, i en els que trobaren certa resistència per part dels soldats republicans. El document especifica que cada un d'ells té una ampolla amb la seva identificació junt al cadàver. És lògic pensar que si hi hagueren 34 morts per part de les tropes rebels, també n'hi haguessin per part de les republicanes, per tant no es pot descartar l'existència d'una altra fossa de soldats, en aquest cas republicans, al cementiri i de fosses pel voltant de la població, encara que a dia d'avui no estiguin localitzades.","Jiménez, Àngel: La guerra civil a Sant Feliu de Guíxols (1936-1939). Ajuntament de Sant Feliu de Guíxols 1995. Vaquero Peláez, Dimas: Crecer, obedecer, combatir... Y morir. C.S.I.C., Zaragoza 2006.","Arxiu Municipal de Sant Feliu de Guíxols, ""Relación de los militares enterrados en el cementerio de esta ciudad durante los días 4 y 5 de febrero de 1.939, según ficha de identificación depositada junto al cadaver"".",,34,Sant Feliu de Guíxols,Baix Empordà,Confirmada,Antiga,http://fossesirepressio.gencat.cat/ca/sant-feliu-de-guixols-cementiri,No,,,"(41.78045694, 3.01999569)",852,16
126255,A tocar del cementiri de Sant Romà d'Abella,A tocar del cementiri de Sant Romà d'Abella,1.04359657,42.14028704,No,Ambdós bàndols,Soldats,"Es tracta de la segona fossa més gran documentada actualment, just darrere la línia de front del caps de pont de Tremp, és probable que nasqués arran dels continus combats a Sant Corneli, Orcau i el Mont de Conques on, igual que als altres cap de pont del Segre, es va intentar una escomesa per part dels republicans a partir del 23 de maig. L'objectiu republicà era arribar fins a Tremp, però les tropes rebels es van parapetar eficaçment a Sant Corneli, impedint l'avanç republicà. El petit nucli de Sant Romà d'Abella va canviar diverses vegades de mans, amb combats molt durs i causant moltes baixes, i finalment, després dels combats del mes de maig, va quedar sota domini republicà. Per la seva ubicació és probable que els morts i ferits en la batalla fossin traslladats fins a Sant Romà d'Abella, on s'inhumaren.","Solé i Barjau, Queralt. Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009.","Documentació per al trasllat de restes a la Santa Cruz del Valle de los Caídos. Arxiu Històric de Lleida, Fons Govern Civil.",,800-1000,Isona i Conca Dellà,Pallars Jussà,Confirmada,Antiga,http://fossesirepressio.gencat.cat/ca/sant-roma-dabella-a-tocar-del-cementiri,No,,,"(42.14028704, 1.04359657)",110,9
125868,Cementiri Bellmunt del Priorat,Cementiri Bellmunt del Priorat,0.75871646,41.16344263,No,Republicà,Hospital Militar,"En el cas de Bellmunt els veïns recordaven que a la Casa de la Mina s'hi havia instal·lat un hospital militar. Aquesta casa era, i encara és en peu i usant-se com a seu d'un museu, la casa del propietari de les mines, de les que s'extreia plom. L'edifici, de planta quadrada, gran, ampli i lluminós, de dues plantes, era idoni per instal·lar-hi un centre d'atenció als ferits. No se n'ha localitzat documentació, però els mateixos veïns del poble van comentar que els morts que hi va haver foren enterrats al cementiri de Bellmunt.","Solé i Barjau, Queralt. Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009.",,Hospital de primera línia / Lloc de Socors Divisionari,Desconegut,Bellmunt del Priorat,Priorat,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/bellmunt-del-priorat-cementiri,No,,,"(41.16344263, 0.75871646)",431,35
125817,Cementiri de Bonastre,Cementiri de Bonastre,1.44703567,41.2235809,No,Republicà,Soldats,"Al voltant de la població de Bonastre s’esdevingueren combats entre les tropes dels dos exèrcits. El franquista prosseguia amb l’ocupació del principat i en aquest sector avançava amb la 13 Divisió, que a la línia Puig Ariño – Bonastre va trobar certa resistència. Degut a aquesta els soldats republicans morts foren nombrosos, tots ells quedaren allà on havien caigut, escampats pel terme. Els veïns del poble, tal i com va passar arreu de Catalunya, sortiren a cercar els cadàvers amb carros i, en aquest cas, dugueren els que van recollir al cementiri, on foren inhumats sense que actualment es conegui el nombre de soldats, tot i que hi ha qui afirma que n’hi deu haver aproximadament vint.","Vidiella, Alfons: El Vendrell, 1936-1939. Vilafranca del Penedès, 2001. Solé i Barjau, Queralt. Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009. El 3 de vuit, 22 d'agost de 2003. Diari del Baix Penedès, 29 d'agost de 2003",,,20 aprox.,Bonastre,Baix Penedès,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/bonastre-cementiri,No,,,"(41.2235809, 1.44703567)",445,33
125852,Terme municipal Prades,Terme municipal Prades,0.9884451,41.30876,No,Ambdós bàndols,Soldats,"A la serra de Prades fou un altre dels punts en que els republicans intentaren frenar l'avenç franquista, que en aquest sector l'efectuaven tropes del Cos d'Exèrcit de Navarra. Les fonts orals consultades, veïns de la població, van informar de l'existència d'una fossa de soldats moros al costat del cementiri. No se sap el nombre de soldats i no es conserva cap mena de documentació i, segons aquestes mateixes fonts, no foren enterrats dins el cementiri, sinó que en tractar-se els soldats de religió musulmana foren inhumats fora del recinte funerari, al costat d'una de les parets que el delimita.","Manent, Albert: La guerra civil i la repressió del 1939 a 62 pobles del Camp de Tarragona. Cossetània Edicions, Valls 2006. Solé i Barjau, Queralt. Els morts clandestins. Les fosses comunes de la Guerra Civil a Catalunya (1936-1939). Catarroja: Ed. Afers, 2009.",,,Desconegut,Prades,Baix Camp,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/prades-al-costat-del-cementiri-i-pel-terme,No,,,"(41.30876, 0.9884451)",492,39
160946,Fondo de llacuna o feixa del boix,Fondo de llacuna o feixa del boix,1.6232729,41.25545219,Sí,Republicà,Soldats,Pocs dies després d'acabar-se la guerra un pagès que anava a treballar al seu tros es va trobar dos soldats republicans morts i els enterrà en aquest mateix lloc.,Les fosses de la Guerra Civil al Penedès. Fonts orals: Josep Ferrer i Casilda Vila.,,,2,Castellet i la Gornal,Alt Penedès,Probable,Antiga,http://fossesirepressio.gencat.cat/ca/castellet-i-la-gornal-fondo-de-llacuna-o-feixa-del-boix,No,,,"(41.25545219, 1.6232729)",534,32
164353,Serra Llena_fossa,Serra la Llena: Camí de les Garrigues,0.864913,41.338365,No,,Soldats,"Fossa localitzada arran de l'estudi dut a terme per la Universitat Rovira i Virgili l'any 2016, per encàrrec de la Generalitat de Catalunya.
Pròximament es completarà la informació d'aquesta fossa.",,,,1,Ulldemolins,Priorat,Probable,Ebre,http://fossesirepressio.gencat.cat/ca/serra-llena-cami-garrigues,No,,,"(41.338365, 0.864913)",668,35
125820,Cementiri de Salomó,Cementiri de Salomó,1.38119012,41.22631954,No,Republicà,Soldats,"La mateixa línia de front i els enfrontaments que fan aparèixer les fosses descrites d'Albinyana i de Bonastre són els que provoquen la fossa de Salomó, resultant també dels combats que es van produir al voltant de la població. Salomó, igual que la resta de poblacions del baix Gaià, va ser escenari bèl·lic entre els dies 18 i 19 de gener de 1939. L’existència de la fossa comuna del cementiri està confirmada per documentació localitzada en el Registre Civil de Defuncions. Els testimonis orals assenyalen que un carro va recollir els cadàvers dels soldats morts al municipi i que van inhumar-los a la fossa del cementiri de Salomó. Es tracta d’una fossa amb un nombre indeterminat de soldats, entre 3 i 20, que es troba delimitada entre una làpida, col·locada recentment, amb el nom del Sr. Emilio Montemayor, i una creu derruïda amb la inscripció dels noms del Sr. Josep Bellet Pérez i el Sr. Ramon Carné Pereta, tots tres soldats republicans.","Fonts hemerogràfiques i bibliogràfiques: Íñiguez, David; Santacana, Joan: Les fosses d'Albinyana. Guerra Civil 1936-1939. Llibres de Matrícula, Calafell 2003. El Periódico de Catalunya, 16 de juny de 2003. Virgili i Colet, A.: Salomó. Col·lecció la Creu de Terme, núm. 24. Cossetània Edicions. Valls, 2004. Fonts orals: Jaume Colet i Antoni Creus, veïns de Salomó","Registre civil de defuncions de Salomó, volums 12, 13 i 16",,Desconegut,Salomó,Tarragonès,Confirmada,Antiga,http://fossesirepressio.gencat.cat/ca/salomo-cementiri,No,,,"(41.22631954, 1.38119012)",524,37
